# ----------------------------------------
# Explore Education Statistics - Public - Prod - GA4
# Untitled exploration-Data catalogue
# 20240605-20250605
# ----------------------------------------

Nth day,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024,0025,0026,0027,0028,0029,0030,0031,0032,0033,0034,0035,0036,0037,0038,0039,0040,0041,0042,0043,0044,0045,0046,0047,0048,0049,0050,0051,0052,0053,0054,0055,0056,0057,0058,0059,0060,0061,0062,0063,0064,0065,0066,0067,0068,0069,0070,0071,0072,0073,0074,0075,0076,0077,0078,0079,0080,0081,0082,0083,0084,0085,0086,0087,0088,0089,0090,0091,0092,0093,0094,0095,0096,0097,0098,0099,0100,0101,0102,0103,0104,0105,0106,0107,0108,0109,0110,0111,0112,0113,0114,0115,0116,0117,0118,0119,0120,0121,0122,0123,0124,0125,0126,0127,0128,0129,0130,0131,0132,0133,0134,0135,0136,0137,0138,0139,0140,0141,0142,0143,0144,0145,0146,0147,0148,0149,0150,0151,0152,0153,0154,0155,0156,0157,0158,0159,0160,0161,0162,0163,0164,0165,0166,0167,0168,0169,0170,0171,0172,0173,0174,0175,0176,0177,0178,0179,0180,0181,0182,0183,0184,0185,0186,0187,0188,0189,0190,0191,0192,0193,0194,0195,0196,0197,0198,0199,0200,0201,0202,0204,0205,0206,0207,0208,0209,0210,0211,0212,0213,0214,0215,0216,0217,0218,0219,0220,0221,0222,0223,0224,0225,0226,0227,0228,0229,0230,0231,0232,0233,0234,0235,0236,0237,0238,0239,0240,0241,0242,0243,0244,0245,0246,0247,0248,0249,0250,0251,0252,0253,0254,0255,0256,0257,0258,0259,0260,0261,0262,0263,0264,0265,0266,0267,0268,0269,0270,0271,0272,0273,0274,0275,0276,0277,0278,0279,0280,0281,0282,0283,0284,0285,0286,0287,0288,0289,0290,0291,0292,0293,0294,0295,0296,0297,0298,0299,0300,0301,0302,0303,0304,0305,0306,0307,0308,0309,0310,0311,0312,0313,0314,0315,0316,0317,0318,0319,0320,0321,0322,0323,0324,0325,0326,0327,0328,0329,0330,0331,0332,0333,0334,0335,0336,0337,0338,0339,0340,0341,0342,0343,0344,0345,0346,0347,0348,0349,0350,0351,0352,0353,0354,0355,0356,0357,0358,0359,0360,0361,0362,0363,0364,0365
Page title,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users
Data catalogue - Explore education statistics - GOV.UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,5,8,30,37,38,26,31,5,8,24,45,43,33,29,7,5,23,41,23,35,28,9,4,22,27,24,35,16,3,2,19,25,23,22,22,4,5,26,17,29,9,21,1,5,21,20,36,31,28,9,9,24,21,22,22,18,6,4,8,32,40,34,28,5,7,22,29,23,33,30,7,8,30,26,39,35,31,4,7,37,45,34,34,25,5,5,44,42,26,42,29,3,5,39,36,31,31,17,9,6,44,37,26,50,27,7,15,46,33,37,45,26,12,13,36,27,36,41,36,10,4,36,46,45,25,35,12,10,34,37,41,43,27,7,11,45,40,42,43,28,6,8,50,41,50,51,35,9,9,39,49,44,49,28,7,9,51,46,40,66,53,13,15,46,43,45,59,36,10,10,53,41,39,38,25,87,38,9,9,4,6,14,4,23,9,20,75,25,9,17,39,56,37,51,42,5,12,38,42,36,43,26,6,27,94,89,47,99,44,6,12,43,52,46,57,35,7,18,45,49,53,42,42,21,32,40,38,46,48,37,11,8,42,42,54,48,43,9,16,28,49,53,48,40,13,14,50,48,48,39,56,15,12,49,41,36,47,37,13,5,55,34,47,39,75,9,9,52,43,43,53,38,32,20,55,59,53,47,41,27,10,51,54,44,36,32,11,7,35,41,45,33,13,6,6,16,46,54,65,31,9,15,55,38,45,43,31,9,16,27,35,37,45,36,8,11,41,32,23,31,24,11,5,36,53,38,36,33,6,11,18,42,23,36,30,10,25,37,49,44,45
"Browse our open data, Data catalogue – Explore education statistics – GOV.UK",31,36,25,6,9,40,34,41,41,33,8,5,32,40,20,33,27,5,9,44,24,27,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Explore our statistics and data - Explore education statistics - GOV.UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,44,13,0,2,2,3,0,1,28,2,8,11,0,11,0,7,2,1,0,2,0,0,0,0,0,14,0,0,2,55,35,20,39,0,0,10,28,9,12,0,8,0,5,0,0,1,6,5,0,0,0,0,0,0,0,0,18,7,0,2,8,2,1,0,0,0,0,1,0,0,0,9,0,4,0,5,1,1,1,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,2,0,0,0,30,1,0,6,0,2,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0
Data catalogue - Search results,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,3,1,1,0,0,0,2,0,3,1,0,0,2,2,2,2,0,1,0,1,2,2,0,2,1,0,1,1,0,2,0,0,1,0,2,2,1,1,0,1,2,1,0,1,4,0,0,1,1,3,1,1,0,0,1,5,1,0,1,1,0,2,1,0,1,0,0,0,2,0,1,0,3,0,1,3,1,0,1,0,1,0,3,4,1,0,1,1,0,4,3,3,1,1,1,0,1,2,2,5,2,0,1,1,3,0,1,1,1,1,3,3,2,0,1,0,0,3,3,2,1,1,0,0,2,1,2,2,1,1,0,2,1,1,1,0,0,0,2,6,2,3,3,1,1,1,1,1,3,2,1,0,2,2,0,1,2,1,1,4,0,3,4,0,1,3,1,0,1,1,0,0,2,0,0,1,0,0,0,2,0,2,1,1,0,1,4,2,1,2,2,0,2,4,2,2,1,2,0,0,1,2,2,5,3,0,1,1,1,2,4,0,0,2,5,4,2,0,1,0,1,4,0,6,3,3,0,2,2,3,4,5,2,2,0,1,3,0,3,2,0,2,4,0,1,3,3,0,0,1,3,3,0,3,1,0,6,0,1,0,1,0,0,0,3,2,1,2,0,3,2,1,2,4,1,0,1,0,2,2,0,2,0,0,2,2,2,1,2,0,1,2,1,2,2,0,1,0,1,1,2,2,0,1,0,2,2,4,3,2,2,0,4,1,3,0,1,1,0,0,5,4,1,0,0,0,0,3,1,0,3,0,1,2,5,2,5
Explore our statistics and data – Explore education statistics – GOV.UK,8,14,7,0,3,10,12,9,16,15,1,2,16,14,7,12,9,2,0,19,8,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Find statistics and data - Explore education statistics - GOV.UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,5,0,0,0,4,4,3,2,0,18,6,0,5,0,2,5,4,1,0,0,0,0,0,0,2,0,0,1,5,4,4,2,0,0,4,3,4,4,0,3,0,2,0,0,0,2,3,0,2,0,0,0,0,0,0,10,7,0,1,9,9,0,0,0,0,0,1,0,0,0,7,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Find statistics and data - Search results,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,14,10,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,1,0,9,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Find statistics and data (page 1 of 10) – Explore education statistics – GOV.UK,3,3,4,3,1,3,5,5,6,2,0,1,2,2,4,5,2,1,2,12,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data catalogue - page 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
