# ----------------------------------------
# Explore Education Statistics - Public - Prod - GA4
# Untitled exploration-Data tables
# 20240605-20250605
# ----------------------------------------

Nth day,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024,0025,0026,0027,0028,0029,0030,0031,0032,0033,0034,0035,0036,0037,0038,0039,0040,0041,0042,0043,0044,0045,0046,0047,0048,0049,0050,0051,0052,0053,0054,0055,0056,0057,0058,0059,0060,0061,0062,0063,0064,0065,0066,0067,0068,0069,0070,0071,0072,0073,0074,0075,0076,0077,0078,0079,0080,0081,0082,0083,0084,0085,0086,0087,0088,0089,0090,0091,0092,0093,0094,0095,0096,0097,0098,0099,0100,0101,0102,0103,0104,0105,0106,0107,0108,0109,0110,0111,0112,0113,0114,0115,0116,0117,0118,0119,0120,0121,0122,0123,0124,0125,0126,0127,0128,0129,0130,0131,0132,0133,0134,0135,0136,0137,0138,0139,0140,0141,0142,0143,0144,0145,0146,0147,0148,0149,0150,0151,0152,0153,0154,0155,0156,0157,0158,0159,0160,0161,0162,0163,0164,0165,0166,0167,0168,0169,0170,0171,0172,0173,0174,0175,0176,0177,0178,0179,0180,0181,0182,0183,0184,0185,0186,0187,0188,0189,0190,0191,0192,0193,0194,0195,0196,0197,0198,0199,0200,0201,0202,0203,0204,0205,0206,0207,0208,0209,0210,0211,0212,0213,0214,0215,0216,0217,0218,0219,0220,0221,0222,0223,0224,0225,0226,0227,0228,0229,0230,0231,0232,0233,0234,0235,0236,0237,0238,0239,0240,0241,0242,0243,0244,0245,0246,0247,0248,0249,0250,0251,0252,0253,0254,0255,0256,0257,0258,0259,0260,0261,0262,0263,0264,0265,0266,0267,0268,0269,0270,0271,0272,0273,0274,0275,0276,0277,0278,0279,0280,0281,0282,0283,0284,0285,0286,0287,0288,0289,0290,0291,0292,0293,0294,0295,0296,0297,0298,0299,0300,0301,0302,0303,0304,0305,0306,0307,0308,0309,0310,0311,0312,0313,0314,0315,0316,0317,0318,0319,0320,0321,0322,0323,0324,0325,0326,0327,0328,0329,0330,0331,0332,0333,0334,0335,0336,0337,0338,0339,0340,0341,0342,0343,0344,0345,0346,0347,0348,0349,0350,0351,0352,0353,0354,0355,0356,0357,0358,0359,0360,0361,0362,0363,0364,0365
Page title,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users,Total users
Create your own tables - Explore education statistics - GOV.UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,58,12,15,74,73,80,74,59,9,8,53,94,92,72,52,6,11,69,64,68,90,43,10,10,66,60,60,71,37,5,8,60,53,61,41,33,7,4,47,45,65,52,32,5,8,41,53,64,58,44,7,6,44,52,65,69,32,30,19,13,60,65,55,41,9,11,54,54,71,59,49,7,9,66,86,78,69,45,3,37,73,76,72,78,52,8,22,81,76,74,55,50,15,15,76,75,95,88,70,12,21,79,103,91,75,67,8,10,87,83,91,92,41,8,16,76,83,82,80,63,13,15,70,70,69,79,43,7,11,70,82,70,90,48,12,18,75,83,77,71,61,13,12,73,96,87,70,64,10,21,71,92,85,94,66,45,7,69,126,75,112,102,16,13,71,84,79,75,58,8,36,69,70,67,54,33,7,141,16,29,2,34,98,86,61,14,41,201,60,28,130,10,132,132,116,97,78,18,17,61,89,92,136,53,3,16,143,166,57,221,55,7,95,62,254,135,167,176,15,119,70,79,74,119,102,25,32,106,99,71,67,61,11,31,160,152,114,100,33,11,12,72,79,75,160,49,12,15,87,80,88,74,94,46,46,81,145,87,89,56,3,21,65,80,119,153,99,14,18,94,81,59,128,91,66,94,90,79,105,80,59,6,8,78,79,51,55,149,213,45,89,100,66,50,12,9,9,10,211,100,70,59,40,14,69,84,98,59,51,11,15,22,69,77,60,47,14,12,55,67,67,55,37,4,9,63,68,70,56,68,7,20,11,67,52,58,47,10,25,75,78,67,71
Step 1: Choose a publication - Create your own tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,4,4,41,40,44,36,32,7,5,40,60,50,38,24,11,9,36,37,45,32,28,5,9,43,42,48,43,13,2,3,29,33,37,19,25,2,4,27,32,35,32,27,1,4,25,30,23,29,27,3,5,30,35,40,27,25,8,9,7,39,34,39,33,8,11,23,28,33,35,31,2,8,53,49,53,47,29,3,3,41,41,49,38,31,3,21,54,42,51,53,39,7,12,58,44,60,43,34,8,14,54,61,51,41,36,8,14,52,51,50,52,41,5,11,46,50,34,54,37,8,7,42,50,42,48,30,4,14,57,48,54,45,36,14,12,50,43,47,46,40,6,9,49,53,42,45,48,11,15,42,56,45,48,34,7,6,35,49,42,56,41,12,16,56,61,39,39,30,3,8,49,52,36,32,33,3,5,9,7,1,1,8,9,5,15,10,20,25,21,6,10,51,46,51,58,47,10,16,54,56,57,53,38,4,9,35,48,45,53,33,7,11,50,48,40,39,30,8,10,46,47,38,35,35,4,10,35,56,31,39,34,11,10,41,44,37,34,30,8,13,36,52,41,51,26,8,15,47,48,42,42,46,3,9,32,63,48,46,31,7,15,42,36,41,51,32,11,9,33,44,33,47,35,10,8,45,38,30,35,30,11,6,47,26,32,35,22,6,9,37,42,37,29,6,4,1,12,39,41,34,33,10,7,37,53,38,38,31,8,13,14,43,29,22,20,10,6,41,40,31,38,21,6,10,39,36,37,35,28,2,6,8,21,33,25,29,12,6,38,57,39,46
Step 2: Select a data set or featured table - Create your own tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,3,0,12,11,14,10,7,0,1,13,18,19,10,12,2,0,9,10,6,9,6,2,1,16,13,11,13,5,1,1,8,6,7,6,7,0,0,12,6,17,11,8,1,0,10,14,13,10,6,0,0,13,12,11,12,7,6,1,2,8,12,15,12,0,2,7,12,13,11,12,0,1,21,14,10,17,11,0,1,13,12,15,11,6,3,4,16,11,14,9,9,4,4,16,12,17,14,18,3,2,18,17,13,16,12,1,1,11,14,21,19,6,3,4,15,21,9,12,17,2,6,10,11,15,15,10,2,2,16,12,14,15,9,7,5,11,18,18,17,8,2,2,14,23,19,8,15,2,3,12,15,15,8,8,1,0,13,15,6,16,7,1,1,15,10,8,10,8,2,2,12,14,9,7,5,1,3,5,2,1,0,1,1,1,3,3,4,8,4,1,2,15,9,16,17,16,4,6,8,21,15,28,4,0,4,15,14,11,28,10,1,0,9,15,9,16,8,0,3,13,8,11,10,14,1,3,11,14,7,13,8,2,1,13,8,12,12,10,1,1,11,7,12,19,5,3,3,16,11,17,16,7,0,4,10,19,15,19,7,3,6,14,15,11,11,7,3,1,9,12,8,19,8,3,4,7,12,17,7,9,1,1,20,12,5,10,7,0,2,11,10,8,11,1,1,1,1,10,11,14,6,2,1,8,15,8,6,7,2,0,1,10,12,7,9,2,1,11,6,9,6,6,3,3,16,10,12,9,6,0,1,1,8,10,7,6,1,4,7,10,15,17
"Create your own tables, Table Tool – Explore education statistics – GOV.UK",108,118,94,12,30,113,264,103,119,93,13,23,113,130,117,126,99,12,16,122,111,104,59,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Step 6: Explore data - Create your own tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,4,4,4,5,4,0,0,1,5,3,4,0,3,0,2,6,6,7,3,3,1,7,3,4,8,6,0,0,7,5,3,3,1,0,0,4,3,6,5,3,0,2,2,3,7,4,1,0,0,6,6,5,2,4,6,1,0,7,4,8,2,0,2,7,4,6,7,4,0,1,5,4,5,5,6,0,0,6,5,7,3,2,1,5,5,5,7,5,6,4,0,10,5,12,5,5,2,1,6,11,6,6,9,2,1,5,5,10,7,3,1,1,6,4,7,10,4,1,1,6,7,11,5,7,2,4,8,8,3,4,5,2,0,5,8,5,8,3,1,0,11,9,2,2,5,2,3,6,7,4,7,4,0,1,7,8,4,3,5,0,2,6,5,4,5,5,0,2,8,6,4,2,3,0,0,1,2,1,0,0,1,1,0,0,1,3,3,0,1,6,5,8,5,7,3,3,3,5,5,7,4,0,2,8,7,2,10,4,1,2,4,5,8,6,2,2,1,3,8,4,5,2,0,0,5,6,5,2,3,1,0,6,1,4,5,3,1,1,4,4,2,10,1,2,0,3,6,8,4,1,0,2,5,12,6,9,4,0,3,6,4,8,4,4,2,1,3,13,3,3,10,2,1,3,4,6,5,5,1,2,9,6,5,4,2,1,0,6,5,3,3,1,0,1,1,3,7,5,6,2,5,1,6,3,2,3,0,0,2,5,7,2,4,3,1,6,8,4,0,2,0,1,1,7,3,8,4,0,1,1,7,3,4,4,0,2,4,7,7,9
Step 2: Select a data set - Create your own tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2,3,1,2,1,0,3,1,0,4,3,1,3,1,4,5,5,2,0,0,3,4,2,6,0,0,0,1,3,2,0,0,0,0,2,1,6,2,3,0,0,4,3,1,3,0,0,1,4,3,4,5,0,2,1,1,4,2,3,1,2,0,2,2,2,4,1,0,1,3,1,4,2,2,0,1,3,2,1,5,1,0,0,1,0,1,5,1,2,0,5,4,9,4,2,3,1,6,6,1,4,4,1,0,4,1,4,6,4,1,0,3,2,3,2,1,0,0,4,1,4,2,4,0,1,6,1,4,3,3,2,1,3,1,5,4,5,0,0,1,3,1,3,4,0,0,2,2,2,2,0,1,0,2,4,2,3,2,0,1,4,4,5,4,1,0,0,3,4,4,4,1,0,0,3,0,1,1,0,0,1,0,1,2,1,1,1,1,2,3,5,3,4,0,1,1,3,6,0,3,0,1,4,1,1,6,3,0,2,1,4,3,1,3,0,1,1,4,3,2,4,0,1,2,1,4,5,2,1,1,2,2,4,2,3,0,0,4,5,1,4,2,0,0,4,2,3,2,3,0,0,1,4,3,2,2,0,0,2,6,4,4,4,1,0,6,1,7,6,4,0,0,3,1,6,4,3,0,0,5,4,2,3,2,0,1,1,2,1,1,0,0,1,1,1,5,6,5,0,1,4,4,2,2,3,1,1,4,3,5,2,3,2,0,4,3,3,1,2,0,0,5,3,4,4,2,0,0,0,1,3,5,1,1,1,7,7,5,4
Step 5: Choose your filters - Create your own tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,3,2,1,0,0,3,4,1,1,0,0,0,1,1,1,3,3,0,0,2,3,1,1,0,0,0,2,1,1,1,0,0,0,3,0,2,1,1,0,0,2,3,2,2,0,0,0,0,2,0,0,1,1,1,1,2,5,4,2,0,0,1,0,0,3,1,0,0,2,2,2,3,1,0,0,4,3,1,5,1,1,1,2,0,2,3,1,1,0,1,1,4,2,3,1,0,3,4,1,1,3,2,0,6,5,2,8,0,1,0,1,0,1,4,2,0,0,1,1,4,1,1,0,0,0,1,1,3,0,2,0,7,1,1,2,3,0,0,3,4,3,3,3,0,0,1,2,1,2,1,0,0,7,3,2,4,2,0,1,4,3,4,1,2,0,0,5,5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,2,4,0,3,4,0,2,4,3,1,3,4,1,0,2,1,0,1,1,0,0,3,2,2,1,1,0,0,0,3,0,4,1,0,1,3,3,1,1,3,0,0,5,2,0,3,2,0,1,1,0,5,2,1,0,0,4,0,5,5,2,1,0,2,4,4,3,2,0,1,1,0,4,2,0,0,0,2,3,0,0,5,1,0,4,0,3,2,1,0,0,2,0,1,1,4,1,0,3,2,2,2,0,0,0,0,2,2,1,1,0,0,2,0,0,2,3,1,0,1,1,1,1,1,2,0,3,1,1,1,3,0,0,4,2,2,2,2,0,0,0,4,1,1,1,0,3,2,1,2,3
Step 4: Choose time period - Create your own tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,2,1,0,1,0,1,3,0,1,0,0,3,1,1,1,0,0,0,0,3,1,0,0,0,0,2,0,0,1,1,0,0,0,1,2,0,0,1,1,1,2,2,2,0,0,1,1,1,1,1,1,1,1,2,0,1,2,0,0,0,1,2,2,1,0,0,0,2,1,0,0,0,1,0,1,4,1,0,1,0,0,0,1,1,3,3,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,3,4,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,3,1,1,1,3,5,1,1,0,1,2,3,0,1,1,0,0,1,1,1,0,0,0,0,1,3,1,0,0,0,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,3,0,0,1,0,0,0,0,1,1,1,4,0,0,1,1,0,1,1,0,1,2,0,0,1,1,1,0,1,2,0,1,2,1,0,0,0,0,0,1,0,0,5,3,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,2,1,3,1,0,0,0,1,1,1,2,0,0,0,0,1,3,0,0,0,0,1,1,2,2,0,0,1,1,0,4
Step 3: Choose locations - Create your own tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,2,1,1,0,0,0,0,0,2,0,2,1,0,2,1,2,0,0,0,1,1,1,1,2,0,1,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,1,0,1,3,1,0,0,2,2,1,0,0,0,0,2,1,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,2,2,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,4,2,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,3,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,1,1,0,1
