time_period,data_version,time_identifier,geographic_level,country_code,country_name,core_component,sex,grade,count,percent,cumulative_count,cumulative_percent
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Number of students,20,z,z,z
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,A*,5,25,5,25
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,A,3,15,8,40
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,B,7,35,15,75
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,C,3,15,18,90
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,D,1,5,19,95
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,E,1,5,20,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Unclassified,0,0,20,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Number of students,180,z,z,z
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,A*,6,3.3,6,3.3
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,A,22,12.2,28,15.6
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,B,52,28.9,80,44.4
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,C,64,35.6,144,80
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,D,26,14.4,170,94.4
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,E,9,5,179,99.4
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Unclassified,1,0.6,180,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Number of students,34,z,z,z
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,A*,2,5.9,2,5.9
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,A,9,26.5,11,32.4
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,B,9,26.5,20,58.8
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,C,13,38.2,33,97.1
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,D,1,2.9,34,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,E,0,0,34,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Unclassified,0,0,34,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Number of students,295,z,z,z
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,A*,9,3.1,9,3.1
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,A,46,15.6,55,18.6
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,B,87,29.5,142,48.1
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,C,88,29.8,230,78
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,D,51,17.3,281,95.3
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,E,14,4.7,295,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Unclassified,0,0,295,100
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,Number of students,449,z,z,z
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,A*,24,5.3,24,5.3
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,A,76,16.9,100,22.3
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,B,142,31.6,242,53.9
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,C,138,30.7,380,84.6
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,D,59,13.1,439,97.8
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,E,10,2.2,449,100
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,Unclassified,0,0,449,100
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Male,Number of students,15,z,z,z
