time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,status,count,percent,cumulative_count,cumulative_percent
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Number of students,28,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Completed,25,89.3,25,89.3
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Completed with special consideration,1,3.6,26,92.9
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Not completed,2,7.1,28,100
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Number of students,65,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Completed,60,92.3,60,92.3
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Completed with special consideration,2,3.1,62,95.4
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Not completed,3,4.6,65,100
202324,Provisional,Academic year,National,E92000001,England,Accounting,All,Number of students,94,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Accounting,All,Completed,86,91.5,86,91.5
202324,Provisional,Academic year,National,E92000001,England,Accounting,All,Completed with special consideration,3,3.2,89,94.7
202324,Provisional,Academic year,National,E92000001,England,Accounting,All,Not completed,5,5.3,94,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Female,Number of students,3,z,z,z
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Female,Completed,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Female,Completed with special consideration,1,33.3,1,33.3
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Female,Not completed,2,66.7,3,100
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Number of students,9,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Completed,9,100,9,100
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Completed with special consideration,0,0,9,100
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Not completed,0,0,9,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Male,Number of students,205,z,z,z
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Male,Completed,195,95.1,195,95.1
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Male,Completed with special consideration,2,1,197,96.1
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Male,Not completed,8,3.9,205,100
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,Number of students,309,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,Completed,261,84.5,261,84.5
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,Completed with special consideration,7,2.3,268,86.7
