time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,grade,count,percent,cumulative_count,cumulative_percent
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Number of students,20,z,z,z
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Distinction,14,70,14,70
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Merit,6,30,20,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Pass,0,0,20,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Unclassified,0,0,20,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Number of students,180,z,z,z
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Distinction,110,61.1,110,61.1
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Merit,66,36.7,176,97.8
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Pass,2,1.1,178,98.9
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Unclassified,2,1.1,180,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Number of students,34,z,z,z
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Distinction,8,23.5,8,23.5
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Merit,16,47.1,24,70.6
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Pass,10,29.4,34,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Unclassified,0,0,34,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Number of students,295,z,z,z
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Distinction,75,25.4,75,25.4
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Merit,126,42.7,201,68.1
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Pass,79,26.8,280,94.9
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Unclassified,15,5.1,295,100
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,Number of students,449,z,z,z
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,Distinction,168,37.4,168,37.4
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,Merit,221,49.2,389,86.6
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,Pass,57,12.7,446,99.3
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,Unclassified,3,0.7,449,100
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Male,Number of students,15,z,z,z
