time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,occupational_specialism,sex,grade,count,percent,cumulative_count,cumulative_percent
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Female,Number of students,3,z,z,z
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Female,Distinction,2,66.7,2,66.7
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Female,Merit,1,33.3,3,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Female,Pass,0,0,3,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Female,Unclassified,0,0,3,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Male,Number of students,20,z,z,z
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Male,Distinction,13,65,13,65
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Male,Merit,7,35,20,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Male,Pass,0,0,20,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Male,Unclassified,0,0,20,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Female,Number of students,17,z,z,z
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Female,Distinction,12,70.6,12,70.6
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Female,Merit,5,29.4,17,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Female,Pass,0,0,17,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Female,Unclassified,0,0,17,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Male,Number of students,160,z,z,z
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Male,Distinction,97,60.6,97,60.6
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Male,Merit,59,36.9,156,97.5
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Male,Pass,2,1.3,158,98.8
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Male,Unclassified,2,1.3,160,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Female,Number of students,34,z,z,z
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Female,Distinction,8,23.5,8,23.5
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Female,Merit,16,47.1,24,70.6
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Female,Pass,10,29.4,34,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Female,Unclassified,0,0,34,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Male,Number of students,295,z,z,z
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Male,Distinction,75,25.4,75,25.4
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Male,Merit,126,42.7,201,68.1
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Male,Pass,79,26.8,280,94.9
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development","Digital Production, Design and Development",Male,Unclassified,15,5.1,295,100
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Female,Number of students,79,z,z,z
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Female,Distinction,60,75.9,60,75.9
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Female,Merit,17,21.5,77,97.5
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Female,Pass,1,1.3,78,98.7
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Female,Unclassified,1,1.3,79,100
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Male,Number of students,7,z,z,z
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Male,Distinction,3,42.9,3,42.9
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Male,Merit,2,28.6,5,71.4
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Male,Pass,2,28.6,7,100
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Male,Unclassified,0,0,7,100
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Female,Number of students,370,z,z,z
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Female,Distinction,108,29.2,108,29.2
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Female,Merit,204,55.1,312,84.3
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Female,Pass,56,15.1,368,99.5
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Female,Unclassified,2,0.5,370,100
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Male,Number of students,8,z,z,z
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Male,Distinction,3,37.5,3,37.5
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Male,Merit,4,50,7,87.5
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Male,Pass,0,0,7,87.5
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Male,Unclassified,1,12.5,8,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Female,Number of students,1,z,z,z
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Female,Distinction,1,100,1,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Female,Merit,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Female,Pass,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Female,Unclassified,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Male,Number of students,146,z,z,z
