time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,grade,count,percent,cumulative_count,cumulative_percent
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Number of students,28,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Distinction*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Distinction,7,25,7,25
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Merit,10,35.7,17,60.7
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Pass,8,28.6,25,89.3
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Partial achievement,3,10.7,28,100
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Unclassified,0,0,28,100
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Number of students,65,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Distinction*,2,3.1,2,3.1
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Distinction,16,24.6,18,27.7
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Merit,31,47.7,49,75.4
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Pass,11,16.9,60,92.3
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Partial achievement,4,6.2,64,98.5
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Unclassified,1,1.5,65,100
202324,Provisional,Academic year,National,E92000001,England,Accounting,All,Number of students,94,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Accounting,All,Distinction*,2,2.1,2,2.1
202324,Provisional,Academic year,National,E92000001,England,Accounting,All,Distinction,23,24.5,25,26.6
202324,Provisional,Academic year,National,E92000001,England,Accounting,All,Merit,42,44.7,67,71.3
202324,Provisional,Academic year,National,E92000001,England,Accounting,All,Pass,19,20.2,86,91.5
202324,Provisional,Academic year,National,E92000001,England,Accounting,All,Partial achievement,7,7.4,93,98.9
202324,Provisional,Academic year,National,E92000001,England,Accounting,All,Unclassified,1,1.1,94,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Female,Number of students,3,z,z,z
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Female,Distinction*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Female,Distinction,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Female,Merit,1,33.3,1,33.3
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Female,Pass,0,0,1,33.3
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Female,Partial achievement,2,66.7,3,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Female,Unclassified,0,0,3,100
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Number of students,9,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Distinction*,1,11.1,1,11.1
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Distinction,1,11.1,2,22.2
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Merit,3,33.3,5,55.6
